,kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,target_pixel_files
4526,6449358,006449358-01,138430438,FP,0,1,3,5.776795224,1
4527,6449358,006449358-02,138430438,FP,1,2,3,5.776793709,1
4528,6449358,006449358-03,138430438,FP,1,3,3,194.6272591,1
4529,6450934,006450934-01,377912885,FP,1,1,10,1.673030944,0
4530,6450934,006450934-02,377912885,FP,1,2,10,560.1223848,0
4531,6450934,006450934-03,377912885,FP,1,3,10,68.23263929999999,0
4532,6450934,006450934-05,377912885,FP,1,5,10,115.140159,0
4533,6450934,006450934-06,377912885,FP,1,6,10,66.66452661,0
4534,6450934,006450934-07,377912885,FP,1,7,10,180.3512922,0
4535,6450934,006450934-08,377912885,FP,1,8,10,50.05328876,0
4536,6450934,006450934-09,377912885,FP,1,9,10,53.61280864,0
4537,6450934,006450934-10,377912885,FP,1,10,10,75.68152909999998,0
4538,6451160,006451160-01,377912915,FP,1,1,1,0.5272157301,0
4539,6451368,006451368-01,377913228,PC,0,1,1,5.33602986,0
4540,6451605,006451605-01,377913301,FP,1,1,1,0.5902918305,0
4541,6451876,006451876-01,271051767,FP,1,1,1,0.659627304,0
4542,6460857,006460857-01,168810173,FP,1,1,1,0.8373154789,0
4543,6461219,006461219-01,168810033,FP,1,1,1,1.367042088,0
4544,6461601,006461601-01,169175240,FP,1,1,1,1.7098885330000002,0
4545,6462185,006462185-01,272947770,FP,1,1,3,0.9006893456,0
4546,6462185,006462185-02,272947770,FP,1,2,3,100.9306587,0
4547,6462185,006462185-03,272947770,FP,1,3,3,158.471318,0
4548,6462863,006462863-01,273231214,PC,0,1,4,22.34296845,0
4549,6462863,006462863-02,273231214,PC,0,2,4,54.32023878,0
4550,6462863,006462863-03,273231214,PC,0,3,4,10.42368176,0
4551,6462863,006462863-04,273231214,PC,0,4,4,3.743163781,0
4552,6463047,006463047-01,169464993,FP,1,1,1,1.5582037619999998,0
4553,6463436,006463436-01,169465619,FP,1,1,2,0.9939452178,0
4554,6463436,006463436-02,169465619,FP,1,2,2,0.5372329626,0
